address,longitude,latitude
Sauvie Island,-122.8154507,45.6292369
Gresham,-122.4307401,45.4969289
Fairmount,-122.7073407,45.5006769
Sellwood Riverfront Park,-122.6629027,45.4657357
Thurman,-122.7253299,45.5391237
Germantown,-122.7905207,45.5891872
Willamette Boulevard,-122.6963084,45.5662581
Crown-Zellerbach Trail,-122.9034284,45.783716
Banks-Vernonia Trail,-123.1638105,45.6648253
Lake Oswego,-122.6643673,45.4182097
McKenzie Building,-122.6664871,45.5112393
Terwilliger,-122.68736,45.502881
Lacamas Lake,-122.4391991,45.6258938
Washougal Waterfront,-122.3777835,45.577904
Downtown Foot Traffic,-122.6763604,45.5170277
Fernhill Park,-122.62334390025322,45.56516572328233
Pier Park,-122.7583102982051,45.60339946648737
Ovation,-122.68124339334305,45.5322758364703
